Global average surface temperature ,
Year,Temperature
2024,1.28
2023,1.19
2022,0.9
2021,0.87
2020,1.02
2019,0.99
2018,0.87
2017,0.94
2016,1.03
2015,0.91
2014,0.75
2013,0.68
2012,0.65
2011,0.61
2010,0.73
2009,0.67
2008,0.54
2007,0.64
2006,0.65
2005,0.69
2004,0.56
2003,0.63
2002,0.62
2001,0.55
2000,0.41
1999,0.41
1998,0.63
1997,0.49
1996,0.35
1995,0.48
1994,0.33
1993,0.27
1992,0.24
1991,0.42
1990,0.45
1989,0.28
1988,0.4
1987,0.34
1986,0.22
1985,0.16
1984,0.19
1983,0.35
1982,0.17
1981,0.35
1980,0.31
1979,0.2
1978,0.11
1977,0.2
1976,-0.05
1975,0.01
1974,-0.05
1973,0.2
1972,0.06
1971,-0.06
1970,0.05
1969,0.1
1968,-0.06
1967,0.01
1966,-0.03
1965,-0.08
1964,-0.17
1963,0.07
1962,0.05
1961,0.08
1960,0
